date,time_local,group,home_team,away_team,home_goals,away_goals,status,stadium
2026-06-25,6:00 p.m.UTC−5,F,Japan,Sweden,,,scheduled,"AT&T Stadium,Arlington"
2026-06-25,7:00 p.m.,D,Turkey,United States,,,scheduled,"SoFi Stadium,Inglewood"
2026-06-25,7:00 p.m.,D,Paraguay,Australia,,,scheduled,"Levi's Stadium,Santa Clara"
2026-06-25,4:00 p.m.UTC−4,E,Curaçao,Ivory Coast,,,scheduled,"Lincoln Financial Field,Philadelphia"
2026-06-25,4:00 p.m.UTC−4,E,Ecuador,Germany,,,scheduled,"MetLife Stadium,East Rutherford"
2026-06-26,3:00 p.m.,I,Senegal,Iraq,,,scheduled,"BMO Field,Toronto"
2026-06-26,3:00 p.m.,I,Norway,France,,,scheduled,"Gillette Stadium,Foxborough"
2026-06-26,8:00 p.m.,G,New Zealand,Belgium,,,scheduled,"BC Place,Vancouver"
2026-06-26,7:00 p.m.UTC−5,H,Cape Verde,Saudi Arabia,,,scheduled,"NRG Stadium,Houston"
2026-06-26,6:00 p.m.UTC−6,H,Uruguay,Spain,,,scheduled,"Estadio Akron,Zapopan"
2026-06-26,8:00 p.m.,G,Egypt,Iran,,,scheduled,"Lumen Field,Seattle"
2026-06-27,5:00 p.m.UTC−4,L,Panama,England,,,scheduled,"MetLife Stadium,East Rutherford"
2026-06-27,7:30 p.m.UTC−4,K,Colombia,Portugal,,,scheduled,"Hard Rock Stadium,Miami Gardens"
2026-06-27,7:30 p.m.UTC−4,K,DR Congo,Uzbekistan,,,scheduled,"Mercedes-Benz Stadium,Atlanta"
2026-06-27,9:00 p.m.UTC−5,J,Jordan,Argentina,,,scheduled,"AT&T Stadium,Arlington"
2026-06-27,9:00 p.m.UTC−5,J,Algeria,Austria,,,scheduled,"Arrowhead Stadium,Kansas City"
2026-06-27,5:00 p.m.UTC−4,L,Croatia,Ghana,,,scheduled,"Lincoln Financial Field,Philadelphia"
