group,stage,home_team,away_team,home_fbref_coverage,away_fbref_coverage,home_squad_avg_age,away_squad_avg_age,home_squad_avg_caps,away_squad_avg_caps,home_squad_total_goals_intl,away_squad_total_goals_intl,home_avg_goals_per90,away_avg_goals_per90,home_sum_goals_per90,away_sum_goals_per90,home_top3_goals_per90,away_top3_goals_per90,home_avg_assists_per90,away_avg_assists_per90,home_sum_assists_per90,away_sum_assists_per90,home_top3_assists_per90,away_top3_assists_per90,home_avg_goals_scored,away_avg_goals_scored,home_sum_goals_scored,away_sum_goals_scored,home_top3_goals_scored,away_top3_goals_scored,home_avg_assists,away_avg_assists,home_sum_assists,away_sum_assists,home_top3_assists,away_top3_assists,home_avg_minutes_played,away_avg_minutes_played,home_sum_minutes_played,away_sum_minutes_played,home_top3_minutes_played,away_top3_minutes_played,home_avg_matches_played,away_avg_matches_played,home_sum_matches_played,away_sum_matches_played,home_top3_matches_played,away_top3_matches_played,home_avg_yellow_cards,away_avg_yellow_cards,home_sum_yellow_cards,away_sum_yellow_cards,home_top3_yellow_cards,away_top3_yellow_cards,home_avg_red_cards,away_avg_red_cards,home_sum_red_cards,away_sum_red_cards,home_top3_red_cards,away_top3_red_cards,home_avg_shots_per90,away_avg_shots_per90,home_sum_shots_per90,away_sum_shots_per90,home_top3_shots_per90,away_top3_shots_per90,home_avg_shots_on_target,away_avg_shots_on_target,home_sum_shots_on_target,away_sum_shots_on_target,home_top3_shots_on_target,away_top3_shots_on_target,home_fifa_rank,away_fifa_rank,home_fifa_points,away_fifa_points,fifa_rank_diff
D,Group Stage,Brazil,Scotland,0.48,0.42,29.074074074074073,29.307692307692307,34.55555555555556,37.42307692307692,156,98,0.28153846153846157,0.10363636363636365,3.6600000000000006,1.1400000000000001,0.62,0.2733333333333333,0.1346153846153846,0.10636363636363635,1.75,1.17,0.35000000000000003,0.3566666666666667,6.230769230769231,2.272727272727273,81.0,25.0,15.0,7.0,2.3846153846153846,0.9090909090909091,31.0,10.0,5.333333333333333,3.0,1788.6923076923076,1063.4545454545455,23253.0,11698.0,2868.0,2273.6666666666665,23.692307692307693,19.272727272727273,308.0,212.0,35.0,32.0,4.076923076923077,1.5454545454545454,53.0,17.0,8.333333333333334,5.0,0.3076923076923077,0.18181818181818182,4.0,2.0,1.0,0.6666666666666666,37.92307692307692,21.818181818181817,493.0,240.0,79.66666666666667,60.666666666666664,16.0,7.2727272727272725,208.0,80.0,34.666666666666664,21.333333333333332,3.0,35.0,1764.0,1243.0,-32.0
D,Group Stage,Morocco,Haiti,"team
Morocco    0.54
Morocco    0.54
Name: fbref_coverage, dtype: float64",0.15,"team
Morocco    26.653846
Morocco    26.653846
Name: squad_avg_age, dtype: float64",27.53846153846154,"team
Morocco    27.0
Morocco    27.0
Name: squad_avg_caps, dtype: float64",24.0,"team
Morocco    98
Morocco    98
Name: squad_total_goals_intl, dtype: int64",115,"team
Morocco    0.104286
Morocco    0.104286
Name: avg_goals_per90, dtype: float64",0.14750000000000002,"team
Morocco    1.46
Morocco    1.46
Name: sum_goals_per90, dtype: float64",0.5900000000000001,"team
Morocco    0.266667
Morocco    0.266667
Name: top3_goals_per90, dtype: float64",0.19666666666666668,"team
Morocco    0.15
Morocco    0.15
Name: avg_assists_per90, dtype: float64",0.05,"team
Morocco    2.1
Morocco    2.1
Name: sum_assists_per90, dtype: float64",0.2,"team
Morocco    0.39
Morocco    0.39
Name: top3_assists_per90, dtype: float64",0.06666666666666667,"team
Morocco    1.5
Morocco    1.5
Name: avg_goals_scored, dtype: float64",2.0,"team
Morocco    21.0
Morocco    21.0
Name: sum_goals_scored, dtype: float64",8.0,"team
Morocco    4.333333
Morocco    4.333333
Name: top3_goals_scored, dtype: float64",2.6666666666666665,"team
Morocco    1.857143
Morocco    1.857143
Name: avg_assists, dtype: float64",1.0,"team
Morocco    26.0
Morocco    26.0
Name: sum_assists, dtype: float64",4.0,"team
Morocco    4.666667
Morocco    4.666667
Name: top3_assists, dtype: float64",1.3333333333333333,"team
Morocco    1269.642857
Morocco    1269.642857
Name: avg_minutes_played, dtype: float64",1493.75,"team
Morocco    17775.0
Morocco    17775.0
Name: sum_minutes_played, dtype: float64",5975.0,"team
Morocco    2069.666667
Morocco    2069.666667
Name: top3_minutes_played, dtype: float64",1603.3333333333333,"team
Morocco    21.5
Morocco    21.5
Name: avg_matches_played, dtype: float64",28.75,"team
Morocco    301.0
Morocco    301.0
Name: sum_matches_played, dtype: float64",115.0,"team
Morocco    31.0
Morocco    31.0
Name: top3_matches_played, dtype: float64",29.666666666666668,"team
Morocco    3.214286
Morocco    3.214286
Name: avg_yellow_cards, dtype: float64",4.75,"team
Morocco    45.0
Morocco    45.0
Name: sum_yellow_cards, dtype: float64",19.0,"team
Morocco    6.333333
Morocco    6.333333
Name: top3_yellow_cards, dtype: float64",6.0,"team
Morocco    0.142857
Morocco    0.142857
Name: avg_red_cards, dtype: float64",0.25,"team
Morocco    2.0
Morocco    2.0
Name: sum_red_cards, dtype: float64",1.0,"team
Morocco    0.666667
Morocco    0.666667
Name: top3_red_cards, dtype: float64",0.3333333333333333,"team
Morocco    16.642857
Morocco    16.642857
Name: avg_shots_per90, dtype: float64",23.75,"team
Morocco    233.0
Morocco    233.0
Name: sum_shots_per90, dtype: float64",95.0,"team
Morocco    40.0
Morocco    40.0
Name: top3_shots_per90, dtype: float64",28.666666666666668,"team
Morocco    5.857143
Morocco    5.857143
Name: avg_shots_on_target, dtype: float64",9.25,"team
Morocco    82.0
Morocco    82.0
Name: sum_shots_on_target, dtype: float64",37.0,"team
Morocco    14.666667
Morocco    14.666667
Name: top3_shots_on_target, dtype: float64",12.0,46.0,42.0,"team
Morocco    1565.0
Morocco    1087.0
Name: fifa_points, dtype: float64",1132.0,4.0
D,Group Stage,Morocco,Scotland,"team
Morocco    0.54
Morocco    0.54
Name: fbref_coverage, dtype: float64",0.42,"team
Morocco    26.653846
Morocco    26.653846
Name: squad_avg_age, dtype: float64",29.307692307692307,"team
Morocco    27.0
Morocco    27.0
Name: squad_avg_caps, dtype: float64",37.42307692307692,"team
Morocco    98
Morocco    98
Name: squad_total_goals_intl, dtype: int64",98,"team
Morocco    0.104286
Morocco    0.104286
Name: avg_goals_per90, dtype: float64",0.10363636363636365,"team
Morocco    1.46
Morocco    1.46
Name: sum_goals_per90, dtype: float64",1.1400000000000001,"team
Morocco    0.266667
Morocco    0.266667
Name: top3_goals_per90, dtype: float64",0.2733333333333333,"team
Morocco    0.15
Morocco    0.15
Name: avg_assists_per90, dtype: float64",0.10636363636363635,"team
Morocco    2.1
Morocco    2.1
Name: sum_assists_per90, dtype: float64",1.17,"team
Morocco    0.39
Morocco    0.39
Name: top3_assists_per90, dtype: float64",0.3566666666666667,"team
Morocco    1.5
Morocco    1.5
Name: avg_goals_scored, dtype: float64",2.272727272727273,"team
Morocco    21.0
Morocco    21.0
Name: sum_goals_scored, dtype: float64",25.0,"team
Morocco    4.333333
Morocco    4.333333
Name: top3_goals_scored, dtype: float64",7.0,"team
Morocco    1.857143
Morocco    1.857143
Name: avg_assists, dtype: float64",0.9090909090909091,"team
Morocco    26.0
Morocco    26.0
Name: sum_assists, dtype: float64",10.0,"team
Morocco    4.666667
Morocco    4.666667
Name: top3_assists, dtype: float64",3.0,"team
Morocco    1269.642857
Morocco    1269.642857
Name: avg_minutes_played, dtype: float64",1063.4545454545455,"team
Morocco    17775.0
Morocco    17775.0
Name: sum_minutes_played, dtype: float64",11698.0,"team
Morocco    2069.666667
Morocco    2069.666667
Name: top3_minutes_played, dtype: float64",2273.6666666666665,"team
Morocco    21.5
Morocco    21.5
Name: avg_matches_played, dtype: float64",19.272727272727273,"team
Morocco    301.0
Morocco    301.0
Name: sum_matches_played, dtype: float64",212.0,"team
Morocco    31.0
Morocco    31.0
Name: top3_matches_played, dtype: float64",32.0,"team
Morocco    3.214286
Morocco    3.214286
Name: avg_yellow_cards, dtype: float64",1.5454545454545454,"team
Morocco    45.0
Morocco    45.0
Name: sum_yellow_cards, dtype: float64",17.0,"team
Morocco    6.333333
Morocco    6.333333
Name: top3_yellow_cards, dtype: float64",5.0,"team
Morocco    0.142857
Morocco    0.142857
Name: avg_red_cards, dtype: float64",0.18181818181818182,"team
Morocco    2.0
Morocco    2.0
Name: sum_red_cards, dtype: float64",2.0,"team
Morocco    0.666667
Morocco    0.666667
Name: top3_red_cards, dtype: float64",0.6666666666666666,"team
Morocco    16.642857
Morocco    16.642857
Name: avg_shots_per90, dtype: float64",21.818181818181817,"team
Morocco    233.0
Morocco    233.0
Name: sum_shots_per90, dtype: float64",240.0,"team
Morocco    40.0
Morocco    40.0
Name: top3_shots_per90, dtype: float64",60.666666666666664,"team
Morocco    5.857143
Morocco    5.857143
Name: avg_shots_on_target, dtype: float64",7.2727272727272725,"team
Morocco    82.0
Morocco    82.0
Name: sum_shots_on_target, dtype: float64",80.0,"team
Morocco    14.666667
Morocco    14.666667
Name: top3_shots_on_target, dtype: float64",21.333333333333332,46.0,35.0,"team
Morocco    1565.0
Morocco    1087.0
Name: fifa_points, dtype: float64",1243.0,11.0
D,Group Stage,Haiti,Scotland,0.15,0.42,27.53846153846154,29.307692307692307,24.0,37.42307692307692,115,98,0.14750000000000002,0.10363636363636365,0.5900000000000001,1.1400000000000001,0.19666666666666668,0.2733333333333333,0.05,0.10636363636363635,0.2,1.17,0.06666666666666667,0.3566666666666667,2.0,2.272727272727273,8.0,25.0,2.6666666666666665,7.0,1.0,0.9090909090909091,4.0,10.0,1.3333333333333333,3.0,1493.75,1063.4545454545455,5975.0,11698.0,1603.3333333333333,2273.6666666666665,28.75,19.272727272727273,115.0,212.0,29.666666666666668,32.0,4.75,1.5454545454545454,19.0,17.0,6.0,5.0,0.25,0.18181818181818182,1.0,2.0,0.3333333333333333,0.6666666666666666,23.75,21.818181818181817,95.0,240.0,28.666666666666668,60.666666666666664,9.25,7.2727272727272725,37.0,80.0,12.0,21.333333333333332,42.0,35.0,1132.0,1243.0,7.0
E,Group Stage,Germany,Ecuador,0.93,0.3,28.107142857142858,26.0,31.178571428571427,30.48148148148148,110,98,0.18807692307692306,0.05625,4.89,0.45,0.56,0.13333333333333333,0.15615384615384617,0.0275,4.0600000000000005,0.22,0.44333333333333336,0.07333333333333333,3.923076923076923,0.75,102.0,6.0,13.333333333333334,1.6666666666666667,2.9615384615384617,0.5,77.0,4.0,8.0,1.3333333333333333,1990.576923076923,1061.375,51755.0,8491.0,3028.3333333333335,2167.0,26.115384615384617,16.375,679.0,131.0,34.333333333333336,27.0,2.5384615384615383,2.375,66.0,19.0,7.0,6.0,0.0,0.25,0.0,2.0,0.0,0.6666666666666666,27.423076923076923,8.625,713.0,69.0,76.33333333333333,15.333333333333334,10.038461538461538,2.5,261.0,20.0,29.333333333333332,4.666666666666667,9.0,23.0,1609.0,1398.0,-14.0
E,Group Stage,Germany,Ivory Coast,0.93,0.52,28.107142857142858,25.724137931034484,31.178571428571427,25.96551724137931,110,92,0.18807692307692306,0.17266666666666666,4.89,2.59,0.56,0.39999999999999997,0.15615384615384617,0.16333333333333336,4.0600000000000005,2.45,0.44333333333333336,0.3233333333333333,3.923076923076923,2.4,102.0,36.0,13.333333333333334,6.0,2.9615384615384617,2.533333333333333,77.0,38.0,8.0,7.666666666666667,1990.576923076923,1249.0666666666666,51755.0,18736.0,3028.3333333333335,2347.3333333333335,26.115384615384617,20.066666666666666,679.0,301.0,34.333333333333336,33.666666666666664,2.5384615384615383,1.8,66.0,27.0,7.0,4.666666666666667,0.0,0.06666666666666667,0.0,1.0,0.0,0.3333333333333333,27.423076923076923,20.466666666666665,713.0,307.0,76.33333333333333,54.666666666666664,10.038461538461538,7.933333333333334,261.0,119.0,29.333333333333332,21.0,9.0,28.0,1609.0,1327.0,-19.0
E,Group Stage,Germany,Curacao,0.93,,28.107142857142858,,31.178571428571427,,110,,0.18807692307692306,,4.89,,0.56,,0.15615384615384617,,4.0600000000000005,,0.44333333333333336,,3.923076923076923,,102.0,,13.333333333333334,,2.9615384615384617,,77.0,,8.0,,1990.576923076923,,51755.0,,3028.3333333333335,,26.115384615384617,,679.0,,34.333333333333336,,2.5384615384615383,,66.0,,7.0,,0.0,,0.0,,0.0,,27.423076923076923,,713.0,,76.33333333333333,,10.038461538461538,,261.0,,29.333333333333332,,9.0,47.0,1609.0,,-38.0
E,Group Stage,Ecuador,Ivory Coast,0.3,0.52,26.0,25.724137931034484,30.48148148148148,25.96551724137931,98,92,0.05625,0.17266666666666666,0.45,2.59,0.13333333333333333,0.39999999999999997,0.0275,0.16333333333333336,0.22,2.45,0.07333333333333333,0.3233333333333333,0.75,2.4,6.0,36.0,1.6666666666666667,6.0,0.5,2.533333333333333,4.0,38.0,1.3333333333333333,7.666666666666667,1061.375,1249.0666666666666,8491.0,18736.0,2167.0,2347.3333333333335,16.375,20.066666666666666,131.0,301.0,27.0,33.666666666666664,2.375,1.8,19.0,27.0,6.0,4.666666666666667,0.25,0.06666666666666667,2.0,1.0,0.6666666666666666,0.3333333333333333,8.625,20.466666666666665,69.0,307.0,15.333333333333334,54.666666666666664,2.5,7.933333333333334,20.0,119.0,4.666666666666667,21.0,23.0,28.0,1398.0,1327.0,-5.0
E,Group Stage,Ecuador,Curacao,0.3,,26.0,,30.48148148148148,,98,,0.05625,,0.45,,0.13333333333333333,,0.0275,,0.22,,0.07333333333333333,,0.75,,6.0,,1.6666666666666667,,0.5,,4.0,,1.3333333333333333,,1061.375,,8491.0,,2167.0,,16.375,,131.0,,27.0,,2.375,,19.0,,6.0,,0.25,,2.0,,0.6666666666666666,,8.625,,69.0,,15.333333333333334,,2.5,,20.0,,4.666666666666667,,23.0,47.0,1398.0,,-24.0
E,Group Stage,Ivory Coast,Curacao,0.52,,25.724137931034484,,25.96551724137931,,92,,0.17266666666666666,,2.59,,0.39999999999999997,,0.16333333333333336,,2.45,,0.3233333333333333,,2.4,,36.0,,6.0,,2.533333333333333,,38.0,,7.666666666666667,,1249.0666666666666,,18736.0,,2347.3333333333335,,20.066666666666666,,301.0,,33.666666666666664,,1.8,,27.0,,4.666666666666667,,0.06666666666666667,,1.0,,0.3333333333333333,,20.466666666666665,,307.0,,54.666666666666664,,7.933333333333334,,119.0,,21.0,,28.0,47.0,1327.0,,-19.0
F,Group Stage,Netherlands,Japan,0.86,0.38,27.642857142857142,27.576923076923077,33.392857142857146,30.615384615384617,166,110,0.15208333333333335,0.10400000000000001,3.6500000000000004,1.04,0.5800000000000001,0.25,0.07,0.071,1.6800000000000002,0.71,0.2366666666666667,0.18999999999999997,2.9166666666666665,1.3,70.0,13.0,9.333333333333334,3.0,1.375,1.5,33.0,15.0,4.333333333333333,4.0,1995.4583333333333,1765.8,47891.0,17658.0,3350.0,2704.0,27.75,26.4,666.0,264.0,37.333333333333336,32.333333333333336,4.25,2.4,102.0,24.0,8.666666666666666,4.0,0.125,0.1,3.0,1.0,1.0,0.3333333333333333,24.166666666666668,20.7,580.0,207.0,70.33333333333333,32.0,7.958333333333333,7.5,191.0,75.0,23.333333333333332,12.333333333333334,8.0,14.0,1614.0,1518.0,-6.0
F,Group Stage,Netherlands,Tunisia,0.86,0.27,27.642857142857142,26.653846153846153,33.392857142857146,22.384615384615383,166,43,0.15208333333333335,0.06571428571428573,3.6500000000000004,0.4600000000000001,0.5800000000000001,0.15333333333333335,0.07,0.049999999999999996,1.6800000000000002,0.35,0.2366666666666667,0.11666666666666665,2.9166666666666665,1.2857142857142858,70.0,9.0,9.333333333333334,3.0,1.375,0.8571428571428571,33.0,6.0,4.333333333333333,2.0,1995.4583333333333,1413.0,47891.0,9891.0,3350.0,2294.6666666666665,27.75,21.571428571428573,666.0,151.0,37.333333333333336,29.333333333333332,4.25,4.0,102.0,28.0,8.666666666666666,7.0,0.125,0.2857142857142857,3.0,2.0,1.0,0.6666666666666666,24.166666666666668,12.714285714285714,580.0,89.0,70.33333333333333,19.333333333333332,7.958333333333333,3.4285714285714284,191.0,24.0,23.333333333333332,6.333333333333333,8.0,25.0,1614.0,1376.0,-17.0
F,Group Stage,Netherlands,?,0.86,,27.642857142857142,,33.392857142857146,,166,,0.15208333333333335,,3.6500000000000004,,0.5800000000000001,,0.07,,1.6800000000000002,,0.2366666666666667,,2.9166666666666665,,70.0,,9.333333333333334,,1.375,,33.0,,4.333333333333333,,1995.4583333333333,,47891.0,,3350.0,,27.75,,666.0,,37.333333333333336,,4.25,,102.0,,8.666666666666666,,0.125,,3.0,,1.0,,24.166666666666668,,580.0,,70.33333333333333,,7.958333333333333,,191.0,,23.333333333333332,,8.0,,1614.0,,
F,Group Stage,Japan,Tunisia,0.38,0.27,27.576923076923077,26.653846153846153,30.615384615384617,22.384615384615383,110,43,0.10400000000000001,0.06571428571428573,1.04,0.4600000000000001,0.25,0.15333333333333335,0.071,0.049999999999999996,0.71,0.35,0.18999999999999997,0.11666666666666665,1.3,1.2857142857142858,13.0,9.0,3.0,3.0,1.5,0.8571428571428571,15.0,6.0,4.0,2.0,1765.8,1413.0,17658.0,9891.0,2704.0,2294.6666666666665,26.4,21.571428571428573,264.0,151.0,32.333333333333336,29.333333333333332,2.4,4.0,24.0,28.0,4.0,7.0,0.1,0.2857142857142857,1.0,2.0,0.3333333333333333,0.6666666666666666,20.7,12.714285714285714,207.0,89.0,32.0,19.333333333333332,7.5,3.4285714285714284,75.0,24.0,12.333333333333334,6.333333333333333,14.0,25.0,1518.0,1376.0,-11.0
F,Group Stage,Japan,?,0.38,,27.576923076923077,,30.615384615384617,,110,,0.10400000000000001,,1.04,,0.25,,0.071,,0.71,,0.18999999999999997,,1.3,,13.0,,3.0,,1.5,,15.0,,4.0,,1765.8,,17658.0,,2704.0,,26.4,,264.0,,32.333333333333336,,2.4,,24.0,,4.0,,0.1,,1.0,,0.3333333333333333,,20.7,,207.0,,32.0,,7.5,,75.0,,12.333333333333334,,14.0,,1518.0,,
F,Group Stage,Tunisia,?,0.27,,26.653846153846153,,22.384615384615383,,43,,0.06571428571428573,,0.4600000000000001,,0.15333333333333335,,0.049999999999999996,,0.35,,0.11666666666666665,,1.2857142857142858,,9.0,,3.0,,0.8571428571428571,,6.0,,2.0,,1413.0,,9891.0,,2294.6666666666665,,21.571428571428573,,151.0,,29.333333333333332,,4.0,,28.0,,7.0,,0.2857142857142857,,2.0,,0.6666666666666666,,12.714285714285714,,89.0,,19.333333333333332,,3.4285714285714284,,24.0,,6.333333333333333,,25.0,,1376.0,,
G,Group Stage,Spain,Cape Verde,0.85,0.04,26.73076923076923,29.692307692307693,28.576923076923077,31.73076923076923,117,75,0.1759090909090909,0.0,3.87,0.0,0.6,0.0,0.1359090909090909,0.0,2.9899999999999998,0.0,0.38999999999999996,0.0,4.136363636363637,0.0,91.0,0.0,15.0,0.0,3.0454545454545454,0.0,67.0,0.0,9.333333333333334,0.0,2216.9545454545455,30.0,48773.0,30.0,3217.3333333333335,30.0,29.363636363636363,2.0,646.0,2.0,37.333333333333336,2.0,3.727272727272727,0.0,82.0,0.0,8.333333333333334,0.0,0.13636363636363635,0.0,3.0,0.0,1.0,0.0,33.90909090909091,0.0,746.0,0.0,92.33333333333333,0.0,11.954545454545455,0.0,263.0,0.0,34.666666666666664,0.0,1.0,38.0,1840.0,1187.0,-37.0
G,Group Stage,Spain,?,0.85,,26.73076923076923,,28.576923076923077,,117,,0.1759090909090909,,3.87,,0.6,,0.1359090909090909,,2.9899999999999998,,0.38999999999999996,,4.136363636363637,,91.0,,15.0,,3.0454545454545454,,67.0,,9.333333333333334,,2216.9545454545455,,48773.0,,3217.3333333333335,,29.363636363636363,,646.0,,37.333333333333336,,3.727272727272727,,82.0,,8.333333333333334,,0.13636363636363635,,3.0,,1.0,,33.90909090909091,,746.0,,92.33333333333333,,11.954545454545455,,263.0,,34.666666666666664,,1.0,,1840.0,,
G,Group Stage,Spain,?,0.85,,26.73076923076923,,28.576923076923077,,117,,0.1759090909090909,,3.87,,0.6,,0.1359090909090909,,2.9899999999999998,,0.38999999999999996,,4.136363636363637,,91.0,,15.0,,3.0454545454545454,,67.0,,9.333333333333334,,2216.9545454545455,,48773.0,,3217.3333333333335,,29.363636363636363,,646.0,,37.333333333333336,,3.727272727272727,,82.0,,8.333333333333334,,0.13636363636363635,,3.0,,1.0,,33.90909090909091,,746.0,,92.33333333333333,,11.954545454545455,,263.0,,34.666666666666664,,1.0,,1840.0,,
G,Group Stage,Cape Verde,?,0.04,,29.692307692307693,,31.73076923076923,,75,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,30.0,,30.0,,30.0,,2.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,38.0,,1187.0,,
G,Group Stage,Cape Verde,?,0.04,,29.692307692307693,,31.73076923076923,,75,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,30.0,,30.0,,30.0,,2.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,38.0,,1187.0,,
G,Group Stage,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,Group Stage,Belgium,Egypt,0.73,0.12,27.653846153846153,28.923076923076923,41.73076923076923,31.576923076923077,214,126,0.20526315789473684,0.22666666666666666,3.9,0.6799999999999999,0.9133333333333332,0.22666666666666666,0.09736842105263158,0.2733333333333334,1.8499999999999999,0.8200000000000001,0.25,0.2733333333333333,2.1052631578947367,3.3333333333333335,40.0,10.0,6.333333333333333,3.3333333333333335,2.1578947368421053,4.333333333333333,41.0,13.0,5.666666666666667,4.333333333333333,2051.0,1596.0,38969.0,4788.0,2910.0,1596.0,27.31578947368421,28.333333333333332,519.0,85.0,33.333333333333336,28.333333333333332,3.1052631578947367,1.6666666666666667,59.0,5.0,7.666666666666667,1.6666666666666667,0.10526315789473684,0.0,2.0,0.0,0.6666666666666666,0.0,22.157894736842106,44.0,421.0,132.0,55.666666666666664,44.0,7.631578947368421,12.0,145.0,36.0,20.333333333333332,12.0,6.0,45.0,1647.0,1098.0,-39.0
H,Group Stage,Belgium,?,0.73,,27.653846153846153,,41.73076923076923,,214,,0.20526315789473684,,3.9,,0.9133333333333332,,0.09736842105263158,,1.8499999999999999,,0.25,,2.1052631578947367,,40.0,,6.333333333333333,,2.1578947368421053,,41.0,,5.666666666666667,,2051.0,,38969.0,,2910.0,,27.31578947368421,,519.0,,33.333333333333336,,3.1052631578947367,,59.0,,7.666666666666667,,0.10526315789473684,,2.0,,0.6666666666666666,,22.157894736842106,,421.0,,55.666666666666664,,7.631578947368421,,145.0,,20.333333333333332,,6.0,,1647.0,,
H,Group Stage,Belgium,?,0.73,,27.653846153846153,,41.73076923076923,,214,,0.20526315789473684,,3.9,,0.9133333333333332,,0.09736842105263158,,1.8499999999999999,,0.25,,2.1052631578947367,,40.0,,6.333333333333333,,2.1578947368421053,,41.0,,5.666666666666667,,2051.0,,38969.0,,2910.0,,27.31578947368421,,519.0,,33.333333333333336,,3.1052631578947367,,59.0,,7.666666666666667,,0.10526315789473684,,2.0,,0.6666666666666666,,22.157894736842106,,421.0,,55.666666666666664,,7.631578947368421,,145.0,,20.333333333333332,,6.0,,1647.0,,
H,Group Stage,Egypt,?,0.12,,28.923076923076923,,31.576923076923077,,126,,0.22666666666666666,,0.6799999999999999,,0.22666666666666666,,0.2733333333333334,,0.8200000000000001,,0.2733333333333333,,3.3333333333333335,,10.0,,3.3333333333333335,,4.333333333333333,,13.0,,4.333333333333333,,1596.0,,4788.0,,1596.0,,28.333333333333332,,85.0,,28.333333333333332,,1.6666666666666667,,5.0,,1.6666666666666667,,0.0,,0.0,,0.0,,44.0,,132.0,,44.0,,12.0,,36.0,,12.0,,45.0,,1098.0,,
H,Group Stage,Egypt,?,0.12,,28.923076923076923,,31.576923076923077,,126,,0.22666666666666666,,0.6799999999999999,,0.22666666666666666,,0.2733333333333334,,0.8200000000000001,,0.2733333333333333,,3.3333333333333335,,10.0,,3.3333333333333335,,4.333333333333333,,13.0,,4.333333333333333,,1596.0,,4788.0,,1596.0,,28.333333333333332,,85.0,,28.333333333333332,,1.6666666666666667,,5.0,,1.6666666666666667,,0.0,,0.0,,0.0,,44.0,,132.0,,44.0,,12.0,,36.0,,12.0,,45.0,,1098.0,,
H,Group Stage,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Group Stage,Saudi Arabia,Uruguay,0.04,0.35,28.653846153846153,28.807692307692307,35.65384615384615,35.88461538461539,96,74,0.13,0.1,0.13,0.9,0.13,0.2466666666666667,0.27,0.05555555555555555,0.27,0.5,0.27,0.13,2.0,2.3333333333333335,2.0,21.0,2.0,5.666666666666667,4.0,1.4444444444444444,4.0,13.0,4.0,3.3333333333333335,1352.0,1884.0,1352.0,16956.0,1352.0,2709.3333333333335,25.0,26.666666666666668,25.0,240.0,25.0,32.666666666666664,4.0,3.5555555555555554,4.0,32.0,4.0,6.0,1.0,0.4444444444444444,1.0,4.0,1.0,1.3333333333333333,8.0,19.666666666666668,8.0,177.0,8.0,40.333333333333336,3.0,7.222222222222222,3.0,65.0,3.0,16.666666666666668,27.0,18.0,1341.0,1487.0,9.0
I,Group Stage,Saudi Arabia,Iran,0.04,0.0,28.653846153846153,30.46153846153846,35.65384615384615,44.88461538461539,96,150,0.13,,0.13,,0.13,,0.27,,0.27,,0.27,,2.0,,2.0,,2.0,,4.0,,4.0,,4.0,,1352.0,,1352.0,,1352.0,,25.0,,25.0,,25.0,,4.0,,4.0,,4.0,,1.0,,1.0,,1.0,,8.0,,8.0,,8.0,,3.0,,3.0,,3.0,,27.0,33.0,1341.0,1265.0,-6.0
I,Group Stage,Saudi Arabia,New Zealand,0.04,0.04,28.653846153846153,28.115384615384617,35.65384615384615,32.46153846153846,96,109,0.13,0.3,0.13,0.3,0.13,0.3,0.27,0.0,0.27,0.0,0.27,0.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,0.0,4.0,0.0,4.0,0.0,1352.0,901.0,1352.0,901.0,1352.0,901.0,25.0,15.0,25.0,15.0,25.0,15.0,4.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,23.0,8.0,23.0,8.0,23.0,3.0,9.0,3.0,9.0,3.0,9.0,27.0,37.0,1341.0,1198.0,-10.0
I,Group Stage,Uruguay,Iran,0.35,0.0,28.807692307692307,30.46153846153846,35.88461538461539,44.88461538461539,74,150,0.1,,0.9,,0.2466666666666667,,0.05555555555555555,,0.5,,0.13,,2.3333333333333335,,21.0,,5.666666666666667,,1.4444444444444444,,13.0,,3.3333333333333335,,1884.0,,16956.0,,2709.3333333333335,,26.666666666666668,,240.0,,32.666666666666664,,3.5555555555555554,,32.0,,6.0,,0.4444444444444444,,4.0,,1.3333333333333333,,19.666666666666668,,177.0,,40.333333333333336,,7.222222222222222,,65.0,,16.666666666666668,,18.0,33.0,1487.0,1265.0,-15.0
